,title,genre,gross,tickets_sold,budget,url,rating,agerating,releaseyear
107,Blinded by the Light,Drama,"$11,901,145 ","1,299,252",15000000,https://www.imdb.com/title/tt8266310/?ref_=adv_li_tt,6.9,PG-13,2019
108,The Grudge,Horror,"$11,404,113 ","1,244,990",10000000,https://www.imdb.com/title/tt3612126/?ref_=adv_li_tt,4.3,R,2020
110,The Lighthouse,Horror,"$10,809,320 ","1,180,056",4000000,https://www.imdb.com/title/tt7984734/?ref_=adv_li_tt,7.4,R,2019
112,The Best of Enemies,Drama,"$10,205,616 ","1,114,150",10000000,https://www.imdb.com/title/tt4807408/?ref_=adv_li_tt,7.3,PG-13,2019
113,Black Christmas,Horror,"$9,867,670 ","1,077,257",5000000,https://www.imdb.com/title/tt10481868/?ref_=adv_li_tt,3.5,PG-13,2019
115,Motherless Brooklyn,Drama,"$9,277,736 ","1,012,853",26000000,https://www.imdb.com/title/tt0385887/?ref_=adv_li_tt,6.8,R,2019
116,Serenity,Thriller/Suspense,"$8,547,045 ","933,083",25000000,https://www.imdb.com/title/tt6476140/?ref_=adv_li_tt,5.4,R,2019
117,Anna,Action,"$7,743,794 ","845,392",30000000,https://www.imdb.com/title/tt7456310/?ref_=adv_li_tt,6.6,R,2019
118,Jexi,Comedy,"$6,546,159 ","714,646",5000000,https://www.imdb.com/title/tt9354944/?ref_=adv_li_tt,6.0,R,2019
119,Captive State,Thriller/Suspense,"$5,958,315 ","650,471",25000000,https://www.imdb.com/title/tt5968394/?ref_=adv_li_tt,6.0,PG-13,2019
120,Arctic Dogs,Adventure,"$5,801,249 ","633,324",50000000,https://www.imdb.com/title/tt4426464/?ref_=adv_li_tt,4.8,PG,2019
121,The Goldfinch,Drama,"$5,332,621 ","582,164",40000000,https://www.imdb.com/title/tt3864056/?ref_=adv_li_tt,6.4,R,2019
122,Don't Let Go,Thriller/Suspense,"$5,215,062 ","569,330",5000000,https://www.imdb.com/title/tt6803212/?ref_=adv_li_tt,6.3,R,2019
