movie,genre,gross,tickets_sold
Greener Grass,Comedy,"$57,384 ","6,264"
Mickey and the Bear,Drama,"$57,188 ","6,243"
Invisible Life,Drama,"$53,783 ","5,871"
Making Waves: The Art of Ci...,Documentary,"$53,144 ","5,801"
One Cut of the Dead,Horror,"$52,406 ","5,721"
End of the Century,Drama,"$51,212 ","5,590"
Charlie Says,Drama,"$51,044 ","5,572"
Mojin: The Worm Valley,Action,"$50,933 ","5,560"
The Hate U Give,Drama,"$50,839 ","5,550"
Ophelia,Drama,"$50,722 ","5,537"
Clinton Road,Horror,"$50,400 ","5,502"
American Dharma,Documentary,"$50,250 ","5,485"
"Love, Antosha",Documentary,"$50,168 ","5,476"
The Bounty Killer,Western,"$48,815 ","5,329"
The Queen,Documentary,"$47,818 ","5,220"
Under The Silver Lake,Thriller/Suspense,"$46,083 ","5,030"
High on the Hog,Action,"$45,599 ","4,978"
The Proposal,Documentary,"$45,149 ","4,928"
The Cave,Documentary,"$45,096 ","4,923"
What is Democracy,Documentary,"$44,502 ","4,858"
Becoming Astrid,Drama,"$44,399 ","4,847"
Carmine Street Guitars,Documentary,"$44,253 ","4,831"
For Sama,Documentary,"$43,796 ","4,781"
Fagara,Drama,"$43,262 ","4,722"
Immortal Hero,Drama,"$43,059 ","4,700"
Midnight Traveler,Documentary,"$41,265 ","4,504"
Aniara,Drama,"$40,124 ","4,380"
Saint Judy,Drama,"$39,275 ","4,287"
Zilla and Zoe,Comedy,"$39,003 ","4,257"
Shed of the Dead,Comedy,"$38,699 ","4,224"
Wildlife,Drama,"$38,112 ","4,160"
Britt-Marie Was Here,Comedy,"$37,127 ","4,053"
The Quiet One,Documentary,"$37,012 ","4,040"
